Period,Store No,Store Name,Store Full,SOS,Pre-Bump %,Adoption %,Make Ahead %,Waste %,Checks Passed,Checks Total,Adherence %,SOS Pass,Adoption Pass,Make Ahead Pass,Waste Pass,Pre-Bump Pass
P3W2,1096,Tamarac-N. University Drive,1096-FL-Tamarac-N. University Drive,12.933333333333334,0.666666666666667,100.0,0.0,,3,4,75.0,False,True,True,,True
P3W2,1167,Pembroke Pines-Pines Blvd,1167-FL-Pembroke Pines-Pines Blvd,13.216666666666667,0.40816326530612196,100.0,5.6176919166243,,3,4,75.0,False,True,True,,True
P3W2,1252,Fort Lauderdale-W. Broward Blv,1252-FL-Fort Lauderdale-W. Broward Blvd.,7.933333333333334,1.07913669064748,58.5106382978723,33.6984721821851,0.94948727687049,3,5,60.0,True,False,False,True,True
P3W2,1677,Palmetto Bay- SW 160th St.,1677-FL-Palmetto Bay- SW 160th St.,7.216666666666667,0.0,85.2941176470588,0.0,,4,4,100.0,True,True,True,,True
P3W2,1726,Fort Lauderdale-E. Commercial ,1726-FL-Fort Lauderdale-E. Commercial Blvd,9.083333333333334,0.591715976331361,100.0,2.4743052912067,,4,4,100.0,True,True,True,,True
P3W2,1771,Miami-SW 152nd St,1771-FL-Miami-SW 152nd St,5.45,0.5494505494505489,100.0,0.0,0.600961538461538,5,5,100.0,True,True,True,True,True
P3W2,183,Margate-Atlantic,183-FL-Margate-Atlantic,21.533333333333335,1.38888888888889,100.0,0.0,,3,4,75.0,False,True,True,,True
P3W2,1841,Ft Lauderdale-S Federal Hwy,1841-FL-Ft Lauderdale-S Federal Hwy,7.65,0.0,86.1111111111111,5.83562480904369,2.12014134275618,5,5,100.0,True,True,True,True,True
P3W2,1847,Pompano Beach-N. Federal Hwy,1847-FL-Pompano Beach-N. Federal Hwy,10.816666666666666,0.0,53.623188405797094,0.0,4.44136016655101,3,5,60.0,False,False,True,True,True
P3W2,1848,Miami-SW 107th Ave,1848-FL-Miami-SW 107th Ave,8.683333333333334,0.0,100.0,0.0,,4,4,100.0,True,True,True,,True
P3W2,1864,Hialeah Gardens-W 33rd Ave,1864-FL-Hialeah Gardens-W 33rd Ave,7.683333333333334,0.0,100.0,0.0,,4,4,100.0,True,True,True,,True
P3W2,1891,Miami-SW 137th Ave,1891-FL-Miami-SW 137th Ave,9.7,1.27388535031847,100.0,0.0,2.36051502145923,5,5,100.0,True,True,True,True,True
P3W2,1954,Miami-N Kendall Dr,1954-FL-Miami-N Kendall Dr,7.1,0.0,94.5454545454545,2.88184438040346,1.40041493775934,5,5,100.0,True,True,True,True,True
P3W2,1972,Miami-Bird Ludlam,1972-FL-Miami-Bird Ludlam,5.85,0.0,85.1063829787234,0.0,,4,4,100.0,True,True,True,,True
P3W2,2013,Palm Springs-S Congress Ave,2013-FL-Palm Springs-S Congress Ave,11.016666666666667,0.0,100.0,2.13068181818182,,3,4,75.0,False,True,True,,True
